uuid,barcode
f79c2a74-5821-4ccc-98a4-b86747bfec8c,TCGA-BH-A0E2-10A-01D-A059-01
0bed5b98-4ee8-443d-b5f7-61e103ea29ec,TCGA-A2-A0CW-10A-01D-A113-01
c5235f84-4567-4b7e-8338-9cf567f863d3,TCGA-A7-A13H-10A-01D-A229-01
24376a9d-a56a-4cbb-8492-d508eb22f047,TCGA-E9-A245-01A-22D-A899-36
4305399d-b194-400e-8492-fbb6b57f8a28,TCGA-AR-A1AY-10A-01D-A896-36
eab80324-b990-48c6-b241-f9081e92204e,TCGA-BH-A1FC-01A-11D-A13J-01
7148f619-8da4-44bb-b32f-176c17c1f103,TCGA-E2-A14X-01A-11D-A10Y-09
c6ccd64b-caa6-4240-95ae-081f6f7b46ea,TCGA-AR-A0TV-01A-21D-A744-36
7a3d9892-d428-4c45-b2ce-f337434abf8e,TCGA-HN-A2OB-01A-21D-A27O-01
d7516d1f-4a1f-4ef2-ac51-f316492e49f8,TCGA-AN-A049-01A-21D-A011-01
d141392c-757b-44f5-b531-0bcc136d8b17,TCGA-AN-A04D-01A-21R-A034-07
7300d49e-2e8c-42e0-873a-1674a19b71e6,TCGA-D8-A1JF-01A-11R-A13Q-07
2eb44a70-b6a5-4d2a-a533-33943ca4607e,TCGA-D8-A1JF-10A-01D-A13N-01
156da9dd-8d74-4969-a4ce-16f10de4ddfa,TCGA-A8-A0A7-01A-11D-A011-01
35935ae7-57c2-4304-904a-cb81cf13e9db,TCGA-AQ-A04J-01A-02D-A89H-36
dcf2138e-b0f7-4b2e-b535-d463819f1b24,TCGA-A2-A4S1-01A-21R-A266-07
5f1298e3-bbaf-47f8-9b7d-fd39596c24f1,TCGA-BH-A0B3-10A-01D-A059-01
54980b3d-e480-4606-917c-19615d774ecc,TCGA-AN-A0XO-01A-11D-A894-36
